"Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals_Added","Base_Salary","Guaranteed_Compensation","Log_Goals_Added"
"Calvin Harris","CIN",2022,"FB",216,-0.03,-0.02,-0.03,-0.11,0.26,0.26,0.33,85444,100444,0.677606952720493
"Giacomo Vrioni","NER",2022,"ST",279,-0.17,0.23,-0.2,-0.07,0.46,0.08,0.33,1.5e+06,1747500,0.677606952720493
"Daniel Gazdag","PHI",2022,"AM",3216,-1.07,0.1,0.15,-0.58,1.54,0.19,0.33,550000,586250,0.677606952720493
"Sebastian Berhalter","VAN",2022,"CM",1117,0.14,-0.06,0.42,-0.28,0.05,0.06,0.32,1e+05,137250,0.676693609624867
"Facundo Torres","ORL",2022,"W",2798,-0.58,0.24,0.44,0.29,0.14,-0.23,0.31,6e+05,953200,0.675778341674085
"James Igbekeme","CLB",2022,"W",1021,0.1,0.03,0.17,0.19,-0.12,-0.06,0.31,315000,408281,0.675778341674085
"Lucas Cavallini","VAN",2022,"ST",1666,-0.53,0.09,-0.22,0.2,0.56,0.21,0.31,1.2e+06,1462500,0.675778341674085
"Sacha Kljestan","LAG",2022,"DM",543,-0.09,-0.01,0.44,0.25,-0.19,-0.09,0.3,84000,84000,0.674861140737812
"Marcos López","SJE",2022,"FB",1515,-0.03,0.08,0.39,-0.28,0.02,0.13,0.29,4e+05,440250,0.673941998634088
"Adrián Cubas","VAN",2022,"CM",1462,-0.02,-0.07,0.69,0.31,-0.5,-0.11,0.29,9e+05,9e+05,0.673941998634088
"Franco Escobar","LAFC",2022,"FB",1264,-0.31,0.02,0.57,0.08,-0.02,-0.06,0.29,550008,550008,0.673941998634088
"Kyle Duncan","NYRB",2022,"FB",660,0.02,-0.02,0.03,0.28,-0.01,-0.02,0.28,268212,293610,0.673020907128896
"Sami Guediri","DCU",2022,"FB",867,-0.04,0.04,0.3,0.09,-0.06,-0.05,0.28,84000,84000,0.673020907128896
"Eddie Segura","LAFC",2022,"CB",921,0.12,0.03,-0.02,0.28,-0.15,0,0.27,2e+05,224000,0.672097857935717
"Felipe Mora","POR",2022,"ST",119,0.02,0.24,-0.02,-0.09,0.08,0.04,0.27,875000,955000,0.672097857935717
"Marinos Tzionis","SKC",2022,"W",912,0.19,0.13,-0.12,-0.15,0.1,0.11,0.27,612500,612500,0.672097857935717
"Alan Benítez","MIN",2022,"FB",640,0.15,-0.03,-0.15,0.27,-0.02,0.04,0.26,380000,437250,0.671172842715083
"Héctor Jiménez","ATX",2022,"FB",664,-0.03,0.06,0,0.35,-0.09,-0.03,0.26,2e+05,2e+05,0.671172842715083
"Kieran Gibbs","MIA",2022,"FB",695,-0.03,0.04,0.35,-0.12,-0.04,0.06,0.26,370000,378167,0.671172842715083
"Ruben Gabrielsen","ATX",2022,"CB",3018,0.34,0.32,-0.73,0.6,-0.17,-0.1,0.26,950000,950000,0.671172842715083
"Víctor Vázquez","LAG",2022,"ST",1270,0.12,-0.13,0.09,1.14,-0.81,-0.15,0.26,440000,440000,0.671172842715083
"Damion Lowe","MIA",2022,"CB",2632,-0.55,-0.31,0.79,0.13,0.3,-0.09,0.25,225000,268333,0.670245853074124
"Andre Shinyashiki","CLT, COL",2022,"W",1226,-0.24,-0.12,0.22,-0.09,0.29,0.19,0.25,140000,150000,0.670245853074124
"Maxime Chanot","NYC",2022,"CB",1616,0.18,0.18,0.14,-0.2,-0.04,-0.01,0.25,7e+05,7e+05,0.670245853074124
"Daniel Lovitz","NSH",2022,"FB",2878,0.03,-0.32,0.22,0.76,-0.31,-0.13,0.24,498750,498750,0.669316880566112
"Jack Skahan","SJE",2022,"FB",132,0.08,-0.03,0.02,0.18,-0.02,0.02,0.23,84000,84000,0.66838591669
"Moussa Djitté","ATX",2022,"ST",544,0,-0.07,0.06,-0.15,0.28,0.11,0.23,550000,550000,0.66838591669
"Dylan Nealis","NYRB",2022,"FB",2016,-0.1,0.04,0.54,-0.08,-0.05,-0.11,0.23,175000,2e+05,0.66838591669
"Kimarni Smith","DCU",2022,"FB",440,-0.26,0,0.19,0.07,0.19,0.03,0.23,85444,85444,0.66838591669
"Emerson Hyndman","ATL",2022,"DM",333,0.03,0.01,-0.09,0.12,0.16,-0.01,0.23,657143,657143,0.66838591669
"Robbie Robinson","MIA",2022,"W",519,0.46,0.02,-0.11,-0.1,0.04,-0.07,0.22,140000,185000,0.667452952889954
"Miles Robinson","ATL",2022,"CB",717,0.05,-0.19,0.26,0.2,-0.03,-0.07,0.22,7e+05,737500,0.667452952889954
"Robert Voloder","SKC",2022,"CB",788,0.39,0.07,-0.05,0.04,-0.17,-0.06,0.22,4e+05,427860,0.667452952889954
"Serge Ngoma","NYRB",2022,"AM",153,0.08,0,0.31,-0.05,-0.13,-0.01,0.21,65500,85451,0.666517980554881
"Daniel Pereira Gil","ATX",2022,"DM",2270,0.47,0.36,-0.41,-0.12,-0.14,0.05,0.21,84000,102258,0.666517980554881
"Deandre Kerr","TOR",2022,"W",1435,0.2,0.26,-0.29,-0.25,0.21,0.08,0.21,65500,70819,0.666517980554881
"Ronald Hernández","ATL",2022,"FB",827,0.05,0.03,0.1,0.1,-0.05,-0.03,0.2,3e+05,3e+05,0.665580991017953
"Tesho Akindele","ORL",2022,"ST",749,-0.27,-0.11,0.09,-0.34,0.7,0.13,0.2,325000,340000,0.665580991017953
"Alexandru Matan","CLB",2022,"W",58,-0.03,0.02,-0.03,-0.01,0.2,0.05,0.19,425000,458250,0.664641975556125
"Nuno Santos","CLT",2022,"DM",185,-0.14,0.22,-0.07,0.04,0.09,0.06,0.19,5e+05,561387,0.664641975556125
"Aiden McFadden","ATL",2022,"FB",693,0.06,0.01,0.32,-0.23,0.1,-0.07,0.19,65500,65500,0.664641975556125
"Oskar Aegren","SJE",2022,"CB",267,0.06,0.04,0.18,-0.01,-0.06,-0.03,0.19,65500,65500,0.664641975556125
"Matt Miazga","CIN",2022,"CB",899,0.14,0.02,0.13,-0.09,-0.03,0.01,0.18,1464000,1464000,0.663700925389648
"Marcus Godinho","VAN",2022,"FB",1123,0.27,0.11,0.07,-0.25,-0.04,0.01,0.17,85444,88444,0.662757831681574
"Osvaldo Alonso","ATL",2022,"DM",365,0.04,0.01,0.31,-0.07,-0.05,-0.06,0.17,84000,84000,0.662757831681574
"João Moutinho","ORL",2022,"FB",2712,0.23,0.08,-1.05,0.87,0.03,0.01,0.17,220000,263000,0.662757831681574
"Darren Yapi","COL",2022,"ST",223,-0.11,-0.02,-0.07,-0.02,0.33,0.06,0.17,65500,76333,0.662757831681574
"Federico Bernardeschi","TOR",2022,"W",1202,-0.51,0.23,0,0.39,-0.03,0.1,0.16,3125000,6256320,0.661812685537261
"Arquimides Ordonez","CIN",2022,"W",123,-0.04,-0.05,0.01,-0.08,0.16,0.15,0.15,65500,69037,0.660865478003869
"Jefferson Savarino","RSL",2022,"ST",1668,-0.02,-0.2,-0.13,0.48,-0.17,0.17,0.15,2e+06,2224290,0.660865478003869
"Eryk Williamson","POR",2022,"DM",1284,-0.06,0.16,0.03,0.48,-0.27,-0.2,0.14,550000,550000,0.65991620006985
"Thorleifur Úlfarsson","HOU",2022,"W",1377,0.37,-0.08,0.03,-0.54,-0.06,0.42,0.14,65500,77699,0.65991620006985
"Noel Buck","NER",2022,"W",326,0.07,-0.04,-0.09,-0.03,0.25,-0.03,0.14,65500,65500,0.65991620006985
"Anton Tinnerholm","NYC",2022,"FB",661,-0.06,0.02,-0.12,0.25,-0.02,0.06,0.13,750000,8e+05,0.658964842664435
"Ian Murphy","CIN",2022,"CB",1635,0.09,0.11,0.58,-0.26,-0.25,-0.13,0.13,65500,67750,0.658964842664435
"Alexander Ring","ATX",2022,"DM",3066,-0.73,-0.26,0.24,-1.29,1.85,0.31,0.12,1.5e+06,1640000,0.658011396657112
"Jacob Shaffelburg","TOR, NSH",2022,"FB",1251,0.35,0.38,-0.56,-0.16,-0.11,0.22,0.12,130000,136500,0.658011396657112
"Dylan Teves","SEA",2022,"W",121,-0.07,-0.01,0.1,-0.09,0.19,0,0.11,65500,65500,0.657055852857104
"Gyasi Zardes","COL, CLB",2022,"ST",2499,-0.54,-0.26,0.18,-0.15,1.09,-0.22,0.11,1.5e+06,1550000,0.657055852857104
"Jaylin Lindsey","CLT",2022,"FB",1848,0.03,0.01,-0.04,0.35,-0.09,-0.15,0.11,2e+05,235625,0.657055852857104
"Cristhian Paredes","POR",2022,"CM",1843,-0.47,0.35,0.28,-0.42,0.22,0.15,0.11,252000,350000,0.657055852857104
"Damian Rivera","NER",2022,"W",474,0.45,0,-0.07,-0.24,0.01,-0.04,0.1,84000,84000,0.656098202012832
"Cristian Dájome","VAN",2022,"FB",1966,0.3,-0.32,0.11,-0.1,0.01,0.09,0.1,750000,815625,0.656098202012832
"Matías Pellegrini","NYC",2022,"FB",81,0.1,0.05,-0.01,-0.03,-0.01,-0.01,0.1,875000,970833,0.656098202012832
"Bernard Kamungo","FCD",2022,"W",26,0.03,0,0,0.06,0.02,-0.01,0.1,84000,84000,0.656098202012832
"Mohamed Farsi","CLB",2022,"FB",121,0.03,0.01,0.06,0.02,0,-0.02,0.1,65500,75333,0.656098202012832
"Mauricio Pineda","CHI",2022,"DM",2196,-0.63,0.37,0.32,-0.54,0.55,0.02,0.09,225000,248875,0.655138434811382
"Juan Mosquera","POR",2022,"FB",218,0.12,0.02,0.09,-0.14,-0.01,0,0.09,160000,178167,0.655138434811382
"Yordy Reyna","CLT",2022,"W",933,0,-0.11,-0.2,0.41,-0.17,0.15,0.09,797500,797500,0.655138434811382
"Sergio Ruiz","CLT",2022,"CM",827,0.23,0.23,0.1,-0.35,-0.02,-0.1,0.09,550000,613000,0.655138434811382
"Ben Reveno","NER",2022,"W",6,0,0,0.09,0,0,0,0.08,65500,65500,0.65417654187796
"Pablo Ruiz","RSL",2022,"CM",2629,-0.13,-0.08,0.12,0.64,-0.66,0.2,0.08,450000,523500,0.65417654187796
"Isaac Atanga","CIN",2022,"FB",51,-0.01,0,0,0.1,0,-0.01,0.08,350000,364000,0.65417654187796
"Harrison Robledo","CIN",2022,"CM",58,-0.1,0.01,0.01,0.03,0.14,-0.01,0.08,65500,86391,0.65417654187796
"Franco Fragapane","MIN",2022,"W",2170,0.2,-0.19,0.52,-0.8,0.29,0.06,0.08,249996,257496,0.65417654187796
"Danny Wilson","COL",2022,"CB",2331,-0.45,0.08,-0.46,0.48,0.41,0.03,0.08,330000,354750,0.65417654187796
"Andrés Reyes","NYRB",2022,"CB",768,-0.04,0.15,0.02,0,-0.02,-0.03,0.08,425000,469375,0.65417654187796
"Jalil Anibaba","CLB",2022,"CB",252,-0.02,0.03,0.06,0.06,-0.04,-0.02,0.08,150000,150000,0.65417654187796
"José Antonio Martínez","FCD",2022,"CB",2879,0.1,0,-0.35,0.91,-0.42,-0.16,0.07,650000,723000,0.653212513775344
"Griffin Dorsey","HOU",2022,"FB",1843,0.21,0.05,0.35,-0.4,-0.22,0.09,0.07,125000,144000,0.653212513775344
"Latif Blessing","LAFC",2022,"CM",1503,-0.27,-0.07,0.14,0.21,0.14,-0.08,0.07,4e+05,416667,0.653212513775344
"Siad Haji","SJE",2022,"CB",25,0.04,0,0.03,0.02,-0.01,-0.01,0.07,120000,129000,0.653212513775344
"Machop Chol","ATL",2022,"FB",105,0.03,0.02,-0.04,0,0.06,-0.01,0.07,65500,65500,0.653212513775344
"Omir Fernandez","NYRB",2022,"AM",1573,-0.09,0.29,0.12,-0.46,0.37,-0.17,0.06,140000,155000,0.652246341003323
"Brad Smith","DCU",2022,"FB",1265,0.01,0,-0.03,-0.12,0.17,0.02,0.05,550000,591250,0.651278013998144
"Harvey Neville","MIA",2022,"FB",15,0,0,-0.01,-0.03,0.09,0,0.05,65500,65500,0.651278013998144
"Albert Rusnák","SEA",2022,"DM",2825,0.33,0.04,-0.23,0.12,-0.52,0.31,0.05,1.8e+06,1871670,0.651278013998144
"Cristian Tello","LAFC",2022,"W",121,0.14,-0.01,-0.08,-0.05,-0.03,0.07,0.05,1333330,1725070,0.651278013998144
"Nkosi Burgess","FCD",2022,"CB",1523,0.06,-0.05,0.16,0.54,-0.47,-0.2,0.04,197950,197950,0.650307523131936
"Themi Antonoglou","TOR",2022,"FB",44,0.03,0,0,-0.01,0.01,0.01,0.04,65500,65500,0.650307523131936
"Kendall Burks","CHI",2022,"CB",206,0,-0.04,0.08,-0.03,0.03,-0.01,0.03,84000,84000,0.649334858712142
"Vuk Latinovich","NYC",2022,"CB",284,0.04,0.03,-0.04,0.08,-0.06,-0.01,0.03,85444,85444,0.649334858712142
"Patryk Klimala","NYRB",2022,"ST",1792,-0.35,0.07,-0.24,0.18,0.26,0.11,0.03,1e+06,1135000,0.649334858712142
"Dejan Joveljic","LAG",2022,"ST",1194,0.14,-0.13,-0.37,-0.1,0.33,0.17,0.03,612500,612500,0.649334858712142
"Christopher Garcia","RSL",2022,"W",9,0.01,0.04,0,-0.01,-0.01,0,0.03,9e+04,94300,0.649334858712142
"Alex Monis","CHI",2022,"W",5,0,0,0,0,-0.01,0.03,0.03,84000,85900,0.649334858712142
"Jason Pendant","NYRB",2022,"FB",100,-0.02,0,0.08,-0.03,-0.03,0.02,0.02,340000,400750,0.648360010980932
"Hugo Mbongue","TOR",2022,"ST",22,0,0.01,0.07,-0.01,-0.03,-0.02,0.02,65500,75078,0.648360010980932
"Max","COL",2022,"CM",1038,-0.06,-0.09,0.32,0.07,-0.23,0.01,0.02,212000,293360,0.648360010980932
"Ethan Zubak","NSH",2022,"ST",259,0.18,-0.04,-0.07,-0.1,0.09,-0.05,0.02,116000,130000,0.648360010980932
"Gedion Zelalem","NYC",2022,"DM",230,0.04,0,-0.03,0.12,-0.08,-0.03,0.01,84000,84000,0.64738297011462
"Benjamin Redzic","FCD",2022,"DM",97,0.01,-0.02,-0.02,-0.01,-0.01,0.07,0.01,66724,74346,0.64738297011462
"Romain Métanire","MIN",2022,"DM",29,-0.01,0,0.02,0.01,-0.01,-0.01,0.01,720000,819250,0.64738297011462
"Nick Lima","ATX",2022,"FB",2591,-0.17,0.04,0.16,0.37,-0.44,0.05,0.01,350000,350000,0.64738297011462
"Kwaku Owusu","NYC",2022,"CB",13,-0.01,0,-0.01,0.02,0,0.01,0.01,85444,85444,0.64738297011462
"Martín Cáceres","LAG",2022,"CB",475,0.11,0.05,0.05,-0.06,-0.09,-0.04,0.01,240000,294400,0.64738297011462
"João Paulo","SEA",2022,"DM",489,-0.15,0.03,0.31,-0.11,-0.09,0.02,0.01,1.2e+06,1283330,0.64738297011462
"Cristián Gutiérrez","VAN",2022,"FB",691,-0.15,0.03,0,0.16,-0.03,0.01,0,250000,267500,0.64640372622307
"Sergio Oregel Jr","CHI",2022,"DM",15,0,0,-0.01,0.02,0,0,0,65500,65500,0.64640372622307
"Miguel Trauco","SJE",2022,"FB",144,-0.01,-0.01,0.04,0.02,-0.03,-0.01,0,1e+05,150000,0.64640372622307
"Daniel Trejo","LAFC",2022,"W",59,0.05,-0.01,-0.01,0.01,-0.03,-0.01,0,65500,65500,0.64640372622307
"Diego Gutiérrez","POR",2022,"ST",9,0.02,0,0.01,0,-0.01,-0.01,0,65500,65500,0.64640372622307
"George Acosta","MIA",2022,"CM",12,-0.02,0,0,0,0,0.02,0,65500,65500,0.64640372622307
"Miguel Ángel Navarro","CHI",2022,"FB",2391,-0.2,-0.24,0.29,0.64,-0.33,-0.16,0,200004,240204,0.64640372622307
"Steven Sserwadda","NYRB",2022,"DM",37,-0.01,0,-0.03,0.01,0,0.02,0,65500,65500,0.64640372622307
"Zach Ryan","NYRB",2022,"ST",69,-0.06,-0.01,-0.04,-0.06,0.1,0.06,-0.01,65500,65500,0.645422269349092
"Jonathan Perez","LAG",2022,"FB",14,0,0,-0.01,0,0,0,-0.01,150000,171750,0.645422269349092
"Jesús Bueno","PHI",2022,"CM",16,-0.01,-0.02,0.06,-0.02,0,0,-0.01,140000,155378,0.645422269349092
"Jhohan Romaña","ATX",2022,"CB",395,0.01,-0.02,-0.02,0.04,-0.02,0,-0.01,440000,440000,0.645422269349092
"Victor Pálsson","DCU",2022,"DM",939,0.13,0.07,0.23,-0.54,-0.01,0.11,-0.01,850000,863125,0.645422269349092
"Brandan Craig","PHI",2022,"DM",6,0,0,0,0,0,0,-0.01,85000,97825,0.645422269349092
"Joey Dezart","ORL",2022,"FB",7,-0.01,0,0,0,0,0,-0.01,89716,89716,0.645422269349092
"Wikelman Carmona","NYRB",2022,"W",53,-0.05,-0.01,0.12,-0.01,-0.04,-0.03,-0.01,66724,69474,0.645422269349092
"Edison Azcona","MIA",2022,"W",22,0,-0.05,-0.01,0.08,-0.02,-0.01,-0.01,65500,65500,0.645422269349092
"Ethan Bartlow","HOU",2022,"CB",1024,0.14,-0.25,0.55,0.03,-0.34,-0.15,-0.02,84000,91500,0.644438589467838
"Tim Parker","HOU",2022,"CB",2495,-0.13,0.11,0.03,0.38,-0.18,-0.22,-0.02,1e+06,1037500,0.644438589467838
"Chris Kablan","RSL",2022,"W",33,0.02,0,0,0.01,-0.03,-0.02,-0.02,108000,126000,0.644438589467838
"Handwalla Bwana","NSH",2022,"W",18,0.01,0,-0.01,0.01,-0.02,-0.01,-0.02,140000,140000,0.644438589467838
"Christopher Hegardt","CLT",2022,"CM",35,0.05,0.01,-0.02,-0.02,-0.03,-0.01,-0.02,65500,73012,0.644438589467838
"Andy Najar","DCU",2022,"FB",1816,0.23,0.03,-0.13,0.09,-0.15,-0.09,-0.02,375000,375000,0.644438589467838
"Sebastian Anderson","COL",2022,"FB",17,0,0,-0.01,-0.02,0.01,0,-0.02,105000,106667,0.644438589467838
"Xherdan Shaqiri","CHI",2022,"AM",2456,-0.03,-0.09,-0.41,1.53,-0.78,-0.25,-0.02,7350000,8153000,0.644438589467838
"Dru Yearwood","NYRB",2022,"CM",1716,-0.09,-0.1,0.48,0.29,-0.51,-0.1,-0.02,5e+05,568750,0.644438589467838
"Jacob Davis","SKC",2022,"ST",6,0,0,0,0,-0.01,0,-0.02,65500,65500,0.644438589467838
"Matheus Rossetto","ATL",2022,"CM",1757,0.08,0.04,0.37,-0.25,-0.16,-0.1,-0.02,550000,662500,0.644438589467838
"Niko Hansen","MIN",2022,"W",118,-0.13,0.02,-0.03,0,0.11,0,-0.03,200400,219400,0.643452676486187
"Michael Halliday","ORL",2022,"FB",72,-0.03,0,0.06,-0.04,-0.01,-0.01,-0.03,89716,99447,0.643452676486187
"Nicholas Gioacchini","ORL",2022,"W",168,-0.17,0.21,-0.07,-0.13,0.15,-0.01,-0.03,350004,369287,0.643452676486187
"Brooklyn Raines","HOU",2022,"CM",40,-0.01,0,0.02,-0.02,-0.02,-0.01,-0.03,65500,83563,0.643452676486187
"Adam Saldana","LAG",2022,"CM",17,0,0,-0.01,-0.01,-0.01,0,-0.03,89513,89513,0.643452676486187
"George Fochive","POR",2022,"CM",40,-0.01,-0.02,0.02,-0.01,-0.01,-0.01,-0.04,84000,84000,0.642464520242121
"Allan Cruz","CIN",2022,"CM",459,-0.04,0.01,-0.18,-0.02,0.12,0.06,-0.04,1140000,1254000,0.642464520242121
"Jonathan Menéndez","RSL",2022,"ST",161,0.02,0,-0.03,-0.09,0.09,-0.03,-0.04,5e+05,602813,0.642464520242121
"Jackson Conway","ATL",2022,"ST",52,-0.04,0.01,-0.01,-0.04,0.03,0,-0.04,84000,84000,0.642464520242121
"Chris Donovan","PHI",2022,"ST",150,-0.06,-0.02,0.03,0.07,0.02,-0.09,-0.04,65500,65500,0.642464520242121
"Reed Baker-Whiting","SEA",2022,"AM",102,-0.01,-0.01,-0.03,0.01,-0.03,0.04,-0.04,65500,85500,0.642464520242121
"Corentin Jean","MIA",2022,"W",91,-0.06,-0.01,-0.03,-0.03,0.11,-0.02,-0.04,720000,788400,0.642464520242121
"Tega Ikoba","POR",2022,"ST",32,-0.01,-0.01,-0.01,-0.01,0,-0.01,-0.04,85444,85444,0.642464520242121
"Nabilai Kibunguchy","MIN",2022,"DM",199,-0.06,0.05,0.09,-0.11,0.01,-0.03,-0.05,66724,66724,0.6414741105041
"Damir Kreilach","RSL",2022,"AM",331,-0.13,-0.02,0.08,-0.14,0.1,0.06,-0.05,1762570,1762570,0.6414741105041
"Adam Armour","CLT",2022,"W",109,-0.06,-0.01,-0.04,0.03,0,0.03,-0.05,65500,65500,0.6414741105041
"Joshué Quiñonez","FCD",2022,"CB",139,0.01,0,0.05,-0.03,-0.06,-0.03,-0.05,180000,227833,0.6414741105041
"Nacho Gil","NER",2022,"W",216,0.19,-0.01,0.01,-0.02,-0.14,-0.1,-0.06,1e+05,1e+05,0.640481436970422
"Jaziel Orozco","RSL",2022,"CB",345,0.02,-0.26,0.24,-0.12,-0.04,0.1,-0.06,65500,65500,0.640481436970422
"Silvester van der Water","ORL",2022,"W",65,-0.04,0,-0.01,0.07,-0.07,-0.02,-0.06,324000,349750,0.640481436970422
"Hassan Ndam","NYRB",2022,"CB",52,-0.01,0,0,-0.03,-0.02,-0.01,-0.06,84000,84000,0.640481436970422
"Eriq Zavaleta","LAG",2022,"CB",222,0.12,0.01,0,-0.05,-0.1,-0.05,-0.07,84000,84000,0.639486489268586
"Zac McGraw","POR",2022,"CB",1225,-0.11,0.03,0.29,-0.29,-0.03,0.04,-0.07,84000,84000,0.639486489268586
"Thiago Fernandes","HOU",2022,"W",34,0,0,0,-0.04,-0.01,-0.01,-0.07,310344,370344,0.639486489268586
"Steve Birnbaum","DCU",2022,"CB",3162,-0.03,0.37,-0.51,-0.47,0.29,0.28,-0.07,750000,762500,0.639486489268586
"Cal Jennings","LAFC",2022,"W",33,-0.02,0,-0.01,-0.04,0.01,-0.01,-0.08,84000,84000,0.638489256954637
"Luquinhas","NYRB",2022,"AM",2140,0.03,0.92,0.06,-0.42,-0.45,-0.22,-0.08,1050000,1173120,0.638489256954637
"Ema Twumasi","FCD",2022,"FB",2343,0.64,0.09,-0.03,-0.63,-0.19,0.04,-0.08,290000,309300,0.638489256954637
"Mikey Ambrose","ATL",2022,"FB",61,0,0,-0.04,-0.07,0,0.03,-0.08,85444,85444,0.638489256954637
"Jack Lynn","ORL",2022,"ST",25,-0.06,0,-0.01,0,0,-0.01,-0.08,65500,65500,0.638489256954637
"Kalil ElMedkhar","FCD",2022,"W",116,-0.02,-0.01,-0.01,-0.05,0,0,-0.08,66724,66724,0.638489256954637
"William Richmond","SJE",2022,"W",56,0.02,-0.01,0.01,-0.06,-0.05,0,-0.09,65500,65500,0.637489729512511
"Erik Godoy","VAN",2022,"CB",496,0.05,-0.01,-0.01,-0.06,-0.11,0.06,-0.09,550000,550000,0.637489729512511
"Erik Holt","RSL",2022,"CB",620,0.08,0.01,-0.19,0.06,-0.13,0.09,-0.09,125000,125000,0.637489729512511
"Blake Bodily","POR",2022,"ST",30,0,-0.01,-0.01,-0.02,-0.03,-0.02,-0.09,84000,84000,0.637489729512511
"Zico Bailey","CIN",2022,"FB",88,-0.02,0,-0.03,-0.02,-0.01,-0.01,-0.09,84000,84000,0.637489729512511
"Alexandre Pato","ORL",2022,"ST",1339,-0.12,-0.06,-0.1,0.69,-0.58,0.07,-0.09,4e+05,4e+05,0.637489729512511
"Gaoussou Samake","DCU",2022,"FB",131,-0.04,0.01,-0.02,-0.02,-0.02,-0.02,-0.09,84000,84000,0.637489729512511
"Taylor Washington","NSH",2022,"FB",688,0.13,-0.02,0.15,-0.11,-0.16,-0.09,-0.1,93989,107570,0.636487896353365
"Justin Meram","RSL",2022,"W",2451,0.31,0.16,-0.28,1.01,-0.87,-0.43,-0.1,425000,468750,0.636487896353365
"Koa Santos","CLT",2022,"W",62,-0.06,-0.01,0.06,-0.02,-0.05,-0.03,-0.1,65500,65500,0.636487896353365
